1 Q0 42920
1 P0 10263
1 SP 130406
1 FF 145790
1 DI 22770
1 CC 26353
1 DD 3341
1 VM 72673
1 AO 3313
1 DA 99616
1 WW 4655
1 VA 17163
1 VS 16184
1 II 23
1 ZZ 28188
1 CS 10508
1 DT 53
1 DR 115
1 DP 20
1 PR 11423
1 AQ 46277
1 PP 5577
1 PT 265
1 PX 7594
1 NC 155454
1 RG 21482
1 PD 889
1 NP 101253
1 RN 2787
1 PI 1618
2 VM avançà -9.80743084415
2 NP Jaume_VII -10.4267653255
2 VM succeïren -10.5005780247
2 NP GNU_Lesser_General_Public_License -11.5253776142
2 NP Xile -7.15592976169
2 AQ incapaç -8.54517577905
2 ZZ BV-3051 -10.2466516344
2 NP Convent_de_Santa_Maria_de_l'_Horta -11.5253776142
2 NP Agàtocles_de_Siracusa -11.5253776142
2 VM crearà -11.1937252053
2 VM perparva -10.5005780247
2 NP U._&_Lehr -9.73361814493
2 NP Avui -8.6921642701
2 NP Charles_Monroe_Schulz -11.5253776142
2 NP Alta_Normandia -11.5253776142
2 NP Heraclea -10.8322304336
2 AQ no'ms -10.7424003564
2 NP Quaestiones -10.8322304336
2 VM transformada -10.5005780247
2 NC parell -9.06373338901
2 NP Heracles -11.5253776142
2 ZZ BP-1121 -9.14803934578
2 NP Teatre_de_la_Santa_Creu -10.8322304336
2 NP Dinogad -11.5253776142
2 NP Benet_Julià -11.5253776142
2 NP Convergència_Democràtica -11.5253776142
2 NP Jacques_Antoine_Moerenhout -10.8322304336
2 NP Guerra_de_la_Independència -10.8322304336
2 NC Retorn -11.2609579663
2 VM celebren -8.70881855548
2 VM celebres -10.0951129166
2 VM desconeguda -7.66736468065
2 NP Dinàmica -11.5253776142
2 NC rompuda -11.9541051469
2 VM Introduïa -11.1937252053
2 NC calibre -11.2609579663
2 NP Khatshik_Gagik_III -11.5253776142
2 NP Castell_de_Xiva -10.8322304336
2 NC gimnèsia -11.9541051469
2 NP Garrigues_Castell_d'_Arbeca -11.5253776142
2 VM heretà -9.24781505621
2 NP Solsona -9.04047096437
2 AQ sumptuàries -8.2574937066
2 NP Llandaf -11.5253776142
2 NP Bondelmonte -11.5253776142
2 NP Castell_de_Taradell -11.5253776142
2 NC glyph -11.9541051469
2 NP Sant_Hubert -11.5253776142
2 VM dissoltes -11.1937252053
2 NC incursió -10.5678107858
2 NP Entre_Felipe -11.5253776142
2 NP Nivells_Alts -11.5253776142
2 NC menovell -11.9541051469
2 NC divisions -7.96512110034
2 NC imperatiu -11.9541051469
2 NC maldecaps -11.2609579663
2 NC ambaixador -8.52011794242
2 NC satiricó -11.9541051469
2 VM garantirà -11.1937252053
2 NP Ozark_Henry -11.5253776142
2 AQ escandinaus -9.64378806772
2 NP USA_de_Bruce_Springsteen -10.8322304336
2 ZZ 487/488 -10.2466516344
2 NP Gai_Marci_Fígul_I -11.5253776142
2 NP Ducat_d'_Estíria -11.5253776142
2 VM transgredeix -11.1937252053
2 AQ fermentable -10.7424003564
2 NC Plana -10.3446672345
2 NP Ochina_Sturm -11.5253776142
2 VM deixada -10.5005780247
2 AQ orgullosa -10.0492531758
2 NC paratges -11.2609579663
2 AQ catalán -10.7424003564
2 NP Prison_Valley -10.8322304336
2 NP Ràdio_Madrid -11.5253776142
2 VM remuntà -11.1937252053
2 RG comer -9.97497065416
2 VM comentà -11.1937252053
2 WW 18_de_març_de_1831 -8.44569718971
2 NP Denton -11.5253776142
2 AQ nòmades -10.0492531758
2 VM enfatitzava -11.1937252053
2 NC imam -11.9541051469
2 NC n-Hamdoun -11.9541051469
2 ZZ 8_bits -10.2466516344
2 ZZ 84-930103-3-2 -10.2466516344
2 NP Tom_Simpson -10.8322304336
2 AQ gironí -9.64378806772
2 NP Panzer_Meyer -11.5253776142
2 NC universitat -8.12546375041
2 NC spam -11.2609579663
2 NC Places -11.9541051469
2 VM Travessà -11.1937252053
2 VM sobrenomenat -11.1937252053
2 VM llogats -11.1937252053
2 NP Federació_Valenciana_d'_ERC -11.5253776142
2 AQ especulativa -10.7424003564
2 NC Ai -11.2609579663
2 VM estenien -10.0951129166
2 WW 6_de_novembre_de_1973 -8.44569718971
2 NC naturalitat -11.2609579663
2 NC ràbia -10.8554928582
2 NP Retimo -11.5253776142
2 NP Occupation -11.5253776142
2 AQ feliços -10.0492531758
2 NC AC -11.9541051469
2 NP Puna_Argentina -11.5253776142
2 NP Tenby -10.8322304336
2 NC quimiosíntesi -11.9541051469
2 NP Clodi_Licini -11.5253776142
